Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2014,101.5,3248,56.25,18,Cleveland Caveliers 2 - with LeBron
2015,100.31,11235,65.18,73,Cleveland Caveliers 2 - with LeBron
2016,106.17,12528,70.34,83,Cleveland Caveliers 2 - with LeBron
2017,109.46,12478,59.65,68,Cleveland Caveliers 2 - with LeBron
2018,111.5,5129,56.52,26,Cleveland Caveliers 2 - with LeBron
