Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2010,101.38,3447,73.53,25,Miami Heat - with LeBron
2011,100.09,7507,69.33,52,Miami Heat - with LeBron
2012,97.93,12437,67.72,86,Miami Heat - with LeBron
2013,99.67,12658,76.38,97,Miami Heat - with LeBron
2014,100.82,5142,58.82,30,Miami Heat - with LeBron
