Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2004,100.84,3126,77.42,24,Miami Heat - without LeBron - without LeBron
2005,99.48,10346,64.42,67,Miami Heat - without LeBron - without LeBron
2006,96.73,10737,58.56,65,Miami Heat - without LeBron - without LeBron
2007,93.94,8830,41.49,39,Miami Heat - without LeBron - without LeBron
2008,92.3,8122,29.55,26,Miami Heat - without LeBron - without LeBron
2009,99.35,5166,50.0,26,Miami Heat - without LeBron - without LeBron
