Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2018,113.35,4194,56.76,21,LA Lakers - with LeBron
2019,109.02,10030,52.17,48,LA Lakers - with LeBron
2020,114.15,8105,71.83,51,LA Lakers - with LeBron
2021,107.06,13276,51.61,64,LA Lakers - with LeBron
2022,112.07,4595,31.71,13,LA Lakers - with LeBron
