Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
1999,90.97,7187,43.04,34,Cleveland Caveliers 1 - without LeBron
2000,94.44,7650,44.44,36,Cleveland Caveliers 1 - without LeBron
2001,92.27,7751,30.95,26,Cleveland Caveliers 1 - without LeBron
2002,94.58,8039,27.06,23,Cleveland Caveliers 1 - without LeBron
2003,91.66,7608,27.71,23,Cleveland Caveliers 1 - without LeBron
2004,95.11,7704,53.09,43,Cleveland Caveliers 1 - without LeBron
2005,98.07,8728,53.93,48,Cleveland Caveliers 1 - without LeBron
2006,92.84,7056,52.63,40,Cleveland Caveliers 1 - without LeBron
