Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2007,95.48,2960,45.16,14,Cleveland Caveliers 2 - without LeBron
2008,95.86,10353,62.04,67,Cleveland Caveliers 2 - without LeBron
2009,98.51,11033,72.32,81,Cleveland Caveliers 2 - without LeBron
2010,98.02,10194,55.77,58,Cleveland Caveliers 2 - without LeBron
2011,96.38,5301,23.64,13,Cleveland Caveliers 2 - without LeBron
2012,92.61,9909,30.84,33,Cleveland Caveliers 2 - without LeBron
2013,98.18,4909,34.0,17,Cleveland Caveliers 2 - without LeBron
