Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
2014,102.56,3282,31.25,10,LA Lakers - without LeBron
2015,95.25,9144,21.88,21,LA Lakers - without LeBron
2016,99.79,9779,28.57,28,LA Lakers - without LeBron
2017,105.08,9983,34.74,33,LA Lakers - without LeBron
2018,108.64,5106,51.06,24,LA Lakers - without LeBron
